EquipmentID,Name,Availability
5001701,Ventilator,False
5003313,Defibrillator,True
5005699,Defibrillator,True
5007253,X-Ray Machine,False
5016798,CT Scanner,False
5028334,CT Scanner,True
5033701,Defibrillator,False
5037630,Ultrasound Machine,False
5038639,Defibrillator,False
5039997,Ventilator,False
5041234,Defibrillator,False
5043916,X-Ray Machine,False
5049654,Defibrillator,False
5051647,Ventilator,False
5056055,Ultrasound Machine,False
5056166,CT Scanner,True
5056439,MRI Machine,False
5058488,Ultrasound Machine,False
5059496,X-Ray Machine,True
5059555,Defibrillator,True
5063262,MRI Machine,False
5064470,MRI Machine,False
5065053,Ventilator,True
5065792,Ultrasound Machine,True
5067584,X-Ray Machine,True
5069260,MRI Machine,True
5072496,Ultrasound Machine,True
5074771,MRI Machine,False
5077112,Defibrillator,True
5078509,MRI Machine,False
5078927,Defibrillator,True
5079621,Defibrillator,True
5082606,Ultrasound Machine,False
5082665,Ultrasound Machine,False
5083359,Defibrillator,True
5084412,Ventilator,False
5084883,CT Scanner,False
5088699,CT Scanner,False
5089166,Defibrillator,False
5090224,CT Scanner,True
5090774,CT Scanner,True
5091261,MRI Machine,True
5094412,MRI Machine,True
5095571,Defibrillator,False
5103680,CT Scanner,True
5106325,Ventilator,True
5106747,Ventilator,False
5108113,MRI Machine,False
5109608,CT Scanner,False
5112720,MRI Machine,True
5116154,MRI Machine,True
5117557,Defibrillator,True
5119089,CT Scanner,True
5128788,MRI Machine,False
5129186,Defibrillator,True
5130030,X-Ray Machine,True
5130195,CT Scanner,False
5131072,X-Ray Machine,False
5131130,X-Ray Machine,True
5133645,Defibrillator,False
5133659,Defibrillator,True
5134691,Defibrillator,True
5134854,Ventilator,False
5134947,Ultrasound Machine,False
5136083,Ventilator,False
5136965,Ventilator,False
5138598,Defibrillator,True
5140050,Defibrillator,False
5140098,Ultrasound Machine,True
5142910,Ultrasound Machine,False
5144375,Defibrillator,True
5150284,CT Scanner,False
5151760,X-Ray Machine,False
5152780,CT Scanner,False
5152847,CT Scanner,True
5154766,Ventilator,False
5156495,X-Ray Machine,False
5156800,Ultrasound Machine,False
5157622,CT Scanner,True
5157698,MRI Machine,True
5160529,MRI Machine,False
5160628,MRI Machine,False
5161486,X-Ray Machine,True
5161842,X-Ray Machine,True
5163346,MRI Machine,True
5164853,Ventilator,False
5169023,X-Ray Machine,True
5172844,MRI Machine,False
5172849,Defibrillator,False
5175380,Defibrillator,False
5175516,Ventilator,False
5178900,Ventilator,False
5179027,CT Scanner,True
5181241,Defibrillator,True
